step,accuracy,loss,mode
0,0.484375,0.8121961355209351,train_pre_drift
1,0.4609375,0.8483613133430481,train_pre_drift
2,0.484375,0.8647141456604004,train_pre_drift
3,0.53125,0.7361348867416382,train_pre_drift
4,0.5,0.8092100620269775,train_pre_drift
5,0.5703125,0.7628480195999146,train_pre_drift
6,0.5703125,0.7146598100662231,train_pre_drift
7,0.53125,0.7884190082550049,train_pre_drift
8,0.5703125,0.7054293155670166,train_pre_drift
9,0.5390625,0.8085295557975769,train_pre_drift
10,0.5703125,0.7382580637931824,train_pre_drift
11,0.5703125,0.7091690897941589,train_pre_drift
12,0.6484375,0.6448307037353516,train_pre_drift
13,0.5625,0.7075971961021423,train_pre_drift
14,0.5859375,0.7040603756904602,train_pre_drift
15,0.671875,0.618129551410675,train_pre_drift
16,0.671875,0.615490198135376,train_pre_drift
17,0.625,0.7003968358039856,train_pre_drift
18,0.6171875,0.650862455368042,train_pre_drift
19,0.71875,0.5872213244438171,train_pre_drift
20,0.6171875,0.6540263891220093,train_pre_drift
21,0.6796875,0.6421698927879333,train_pre_drift
22,0.65625,0.6130692362785339,train_pre_drift
23,0.671875,0.6077859997749329,train_pre_drift
24,0.6875,0.5875576734542847,train_pre_drift
25,0.609375,0.669607937335968,train_pre_drift
26,0.609375,0.6672399640083313,train_pre_drift
27,0.671875,0.6078085899353027,train_pre_drift
28,0.71875,0.5585994124412537,train_pre_drift
29,0.6875,0.5794205665588379,train_pre_drift
30,0.6953125,0.6121968030929565,train_pre_drift
31,0.7890625,0.5081157088279724,train_pre_drift
32,0.6796875,0.6085332036018372,train_pre_drift
33,0.75,0.5616638660430908,train_pre_drift
34,0.671875,0.5522264838218689,train_pre_drift
35,0.671875,0.5885858535766602,train_pre_drift
36,0.7109375,0.5014992952346802,train_pre_drift
37,0.6875,0.5400797128677368,train_pre_drift
38,0.7421875,0.5521300435066223,train_pre_drift
39,0.734375,0.5526318550109863,train_pre_drift
40,0.4765625,,eval_post_drift
41,0.4296875,,eval_post_drift
42,0.46875,,eval_post_drift
43,0.4609375,,eval_post_drift
44,0.421875,,eval_post_drift
45,0.4609375,,eval_post_drift
46,0.421875,,eval_post_drift
47,0.46875,,eval_post_drift
48,0.46875,,eval_post_drift
49,0.484375,,eval_post_drift
50,0.484375,,eval_post_drift
51,0.53125,,eval_post_drift
52,0.53125,,eval_post_drift
53,0.453125,,eval_post_drift
54,0.4453125,,eval_post_drift
55,0.4453125,,eval_post_drift
56,0.4375,,eval_post_drift
57,0.4375,,eval_post_drift
58,0.46875,,eval_post_drift
59,0.5234375,,eval_post_drift
60,0.4375,,eval_post_drift
61,0.5234375,,eval_post_drift
62,0.53125,,eval_post_drift
63,0.4921875,,eval_post_drift
64,0.578125,,eval_post_drift
65,0.4296875,,eval_post_drift
66,0.5390625,,eval_post_drift
67,0.5,,eval_post_drift
